AnimalID	GroupID	Location	TrappingPeriod	DateofCapture	CaptureStart	CaptureEnd	GroupSize	Sex	weight	Rainfall	firstcapturedate	censor	Time.days	Time.years	statecode	state	id	SessRef	SexRatiomf	ScaledWeight	Scale_sexratio	Rainfall.s
KR10M029	Kuruman 10	KRR	9	0020-03-20	2018-03-17	0020-03-20	17	Male	50	121.7158381	2018-03-17	NA	0	0	ingroupnonbreeder	1	174	358	0.8823529411764706	-0.9070128117865269	0.38235294117647056	0.9662332674199685
KR10M029	Kuruman 10	KRR	10	0006-10-20	2018-10-02	0010-10-20	16	Male	91	11.76823613	2018-03-17	NA	203	0.55578371	ingroupnonbreeder	1	174	399	0.8125	0.13500976471959586	0.3125	-0.8641746208105754
KR10M029	Kuruman 10	KRR	11	0012-03-20	2019-03-12	0017-03-20	20	Male	102	69.35182863	2018-03-17	NA	360	0.985626283	ingroupnonbreeder	1	174	428	0.8	0.4145767974407507	0.30000000000000004	0.09447713744616895
KR10M029	Kuruman 10	KRR	12	0010-09-20	2019-09-09	0010-09-20	19	Male	97	0.397720048	2018-03-17	NA	542	1.483915127	ingroupnonbreeder	1	174	454	0.8421052631578947	0.2875008734765894	0.3421052631578947	-1.0534709943269704
KR10M029	Kuruman 10	KRR	13	0010-03-20	2020-03-08	0012-03-20	16	Male	107	165.6746387	2018-03-17	NA	724	1.98220397	ingroupnonbreeder	1	174	503	0.8125	0.541652721404912	0.3125	1.6980594640235869
KR10M029	Kuruman 10	KRR	NA	0027-05-20	2020-05-27	NA	NA	Male	NA	64.81177172	2018-03-17	99	802	2.195756331	ingroupnonbreeder	99	174	NA	NA	NA	NA	0.018894261310797827
KR10M030	Kuruman 10	KRR	10	0004-10-20	2018-10-02	0010-10-20	16	Male	58	11.76823613	2018-10-02	NA	0	0	ingroupnonbreeder	1	194	399	0.8125	-0.7036913334438688	0.3125	-0.8641746208105754
KR10M030	Kuruman 10	KRR	11	0013-03-20	2019-03-12	0017-03-20	20	Male	87	69.35182863	2018-10-02	NA	162	0.443531828	ingroupnonbreeder	1	194	428	0.8	0.0333490255482668	0.30000000000000004	0.09447713744616895
KR10M030	Kuruman 10	KRR	12	0010-09-20	2019-09-09	0010-09-20	19	Male	77	0.397720048	2018-10-02	NA	343	0.93908282	ingroupnonbreeder	1	194	454	0.8421052631578947	-0.22080282238005583	0.3421052631578947	-1.0534709943269704
KR10M030	NA	KRR	NA	0005-03-20	2020-03-05	NA	NA	Male	NA	NA	2018-10-02	NA	520	1.423682409	Disappeared	2	194	NA	NA	NA	NA	NA
KR10M031	Kuruman 10	KRR	10	0005-10-20	2018-10-02	0010-10-20	16	Male	35	11.76823613	2018-10-02	NA	0	0	ingroupnonbreeder	1	195	399	0.8125	-1.288240583679011	0.3125	-0.8641746208105754
KR10M031	Kuruman 10	KRR	11	0012-03-20	2019-03-12	0017-03-20	20	Male	67	69.35182863	2018-10-02	NA	161	0.440793977	ingroupnonbreeder	1	195	428	0.8	-0.47495467030837846	0.30000000000000004	0.09447713744616895
KR10M031	Kuruman 10	KRR	12	0010-09-20	2019-09-09	0010-09-20	19	Male	86	0.397720048	2018-10-02	NA	343	0.93908282	ingroupnonbreeder	1	195	454	0.8421052631578947	0.007933840755434532	0.3421052631578947	-1.0534709943269704
KR10M031	Kuruman 10	KRR	13	0009-03-20	2020-03-08	0012-03-20	16	Male	109	165.6746387	2018-10-02	NA	524	1.434633812	ingroupnonbreeder	1	195	503	0.8125	0.5924830909905766	0.3125	1.6980594640235869
KR10M031	Kuruman 10	KRR	NA	0027-05-20	2020-05-27	NA	NA	Male	NA	64.81177172	2018-10-02	99	603	1.650924025	ingroupnonbreeder	99	195	NA	NA	NA	NA	0.018894261310797827
KR10M032	Kuruman 10	KRR	10	0006-10-20	2018-10-02	0010-10-20	16	Male	41	11.76823613	2018-10-02	NA	0	0	ingroupnonbreeder	1	196	399	0.8125	-1.1357494749220174	0.3125	-0.8641746208105754
KR10M032	Kuruman 10	KRR	11	0013-03-20	2019-03-12	0017-03-20	20	Male	65	69.35182863	2018-10-02	NA	162	0.443531828	ingroupnonbreeder	1	196	428	0.8	-0.525785039894043	0.30000000000000004	0.09447713744616895
KR10M032	Kuruman 10	KRR	12	0010-09-20	2019-09-09	0010-09-20	19	Male	70	0.397720048	2018-10-02	NA	343	0.93908282	ingroupnonbreeder	1	196	454	0.8421052631578947	-0.3987091159298817	0.3421052631578947	-1.0534709943269704
KR10M032	Kuruman 10	KRR	13	0011-03-20	2020-03-08	0012-03-20	16	Male	87	165.6746387	2018-10-02	NA	526	1.440109514	ingroupnonbreeder	1	196	503	0.8125	0.0333490255482668	0.3125	1.6980594640235869
KR10M032	Kuruman 10	KRR	NA	0027-05-20	2020-05-27	NA	NA	Male	NA	64.81177172	2018-10-02	99	603	1.650924025	ingroupnonbreeder	99	196	NA	NA	NA	NA	0.018894261310797827
KR10M033	Kuruman 10	KRR	10	0006-10-20	2018-10-02	0010-10-20	16	Male	33	11.76823613	2018-10-02	NA	0	0	ingroupnonbreeder	1	197	399	0.8125	-1.3390709532646754	0.3125	-0.8641746208105754
KR10M033	Kuruman 10	KRR	11	0013-03-20	2019-03-12	0017-03-20	20	Male	77	69.35182863	2018-10-02	NA	162	0.443531828	ingroupnonbreeder	1	197	428	0.8	-0.22080282238005583	0.30000000000000004	0.09447713744616895
KR10M033	Kuruman 10	KRR	12	0010-09-20	2019-09-09	0010-09-20	19	Male	75	0.397720048	2018-10-02	NA	343	0.93908282	ingroupnonbreeder	1	197	454	0.8421052631578947	-0.27163319196572033	0.3421052631578947	-1.0534709943269704
